,term,line,name,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
1586,202109,수인선,인천,1637,2572,2024,3530,2014,2514,37.476691,126.616936
1587,202109,경인선,인천,3818,5301,7054,7001,7860,2711,37.476691,126.616936
1588,202109,경부선,신길,20179,14832,10094,7229,12116,13332,37.517122,126.917169
1589,202109,5호선,신길,10852,7083,3500,3197,5161,8586,37.517122,126.917169
1590,202109,중앙선,원덕,788,575,811,708,408,625,37.468672,127.547076
1591,202109,3호선,남부터미널(예술의전당),26634,82243,34167,35344,61571,30415,37.485013,127.016189
1592,202109,우이신설선,북한산보국문,16840,5743,8298,6340,5223,12696,37.612343,127.008009
1593,202109,2호선,을지로입구,9845,144469,34599,36536,99800,18606,37.566014,126.982618
1594,202109,7호선,삼산체육관,17004,4196,6194,4712,3353,11318,37.506411,126.742153
1595,202109,경부선,용산,21550,83334,42205,51363,82675,35979,37.529849,126.964561
1596,202109,경부선,안양,53296,24864,27622,27500,25797,44928,37.401592,126.922874
1597,202109,중앙선,상봉(시외버스터미널),16745,5743,7430,6825,6221,13709,37.596362,127.085032
1598,202109,2호선,홍대입구,48668,65310,54233,92301,120891,84731,37.557192,126.925381
1599,202109,경의선,홍대입구,1212,3307,1669,3115,4431,2722,37.557192,126.925381
1600,202109,경춘선,금곡,3763,2679,2175,1805,1626,2637,37.637382,127.207853
1601,202109,경원선,응봉,5220,1680,2429,1890,1685,3306,37.549946,127.034538
1602,202109,1호선,종로3가,7174,46766,38696,45034,54395,14733,37.571607,126.991806
1603,202109,3호선,종로3가,2060,29742,10202,18709,25571,6519,37.571607,126.991806
1604,202109,경부선,세류,8143,3268,3367,3052,3484,6338,37.245025,127.013222
1605,202109,경춘선,굴봉산,203,381,420,369,206,128,37.832067,127.557695
1606,202109,5호선,종로3가,3112,23780,14667,22303,30930,10786,37.571607,126.991806
1607,202109,경부선,세마,6319,4231,3319,2405,3329,5254,37.187533,127.04318
1608,202109,경부선,송탄,9184,4875,6590,4955,5280,9177,37.075696,127.054301
1609,202109,2호선,을지로3가,6668,75374,18680,19766,52905,11410,37.566295,126.99191
1610,202109,3호선,을지로3가,2570,36708,9267,10425,25819,5546,37.566295,126.99191
1611,202109,경원선,월계,17511,7472,9383,7475,5324,12856,37.633212,127.058831
1612,202109,6호선,약수,5042,8760,4825,4237,6330,4179,37.55434,127.010655
1613,202109,3호선,약수,25097,20268,16925,15025,17302,21575,37.55434,127.010655
1614,202109,6호선,이태원,9025,15380,12020,16443,22861,17163,37.534488,126.994302
1615,202109,경춘선,강촌,435,1213,1416,1297,988,496,37.805723,127.634146
1616,202109,경부선,수원,48458,49659,46814,57149,66042,62448,37.265974,126.999874
1617,202109,분당선,수원,16406,9252,8917,8933,12846,12943,37.265974,126.999874
1618,202109,경춘선,가평,2627,3856,3638,3579,3071,2282,37.814536,127.510739
1619,202109,6호선,증산(명지대앞),31578,6919,12174,10378,7287,23841,37.583876,126.909645
1620,202109,공항철도 1호선,홍대입구,7612,13537,10225,16770,23689,13875,37.557192,126.925381
