area_type,code,area_name,lon,lat,area_store,area_sim_store,tot_customer,avg_take
골목상권,1000129,광나루로36길,127.08621340020343,37.543837240312854,7.333333333333333,8.333333333333334,209907.1935483871,96554489.1875
골목상권,1000130,광나루로37길,127.0878902619949,37.54567404210782,2.0,2.0,238614.70967741936,10632114.9375
발달상권,1001160,서울 광진구 구의역,127.08551647174467,37.537990259627755,9.428571428571429,14.571428571428571,472288.77419354836,454407344.1875
골목상권,1000131,광나루로40길,127.08913185113586,37.54302417421869,2.1666666666666665,3.1666666666666665,651870.2903225806,107157079.0625
골목상권,1000048,퇴계로8길,126.9789946865649,37.55665201171774,6.0,6.0,166699.8064516129,69192857.0625
골목상권,1000049,퇴계로90길,127.0219806870213,37.563688619999134,5.166666666666667,6.166666666666667,491933.7419354839,62790173.5625
골목상권,1000050,녹사평대로11길,126.99319002668486,37.52177596888278,1.0,1.0,23089.354838709678,22824617.375
골목상권,1000051,녹사평대로26길,126.992465038759,37.53175902735252,11.666666666666666,11.666666666666666,132480.16129032258,375199480.75
전통시장,1001362,백운시장,127.01531027271143,37.65578880260641,1.0,1.0,40596.1935483871,45304590.0
전통시장,1001363,쌍문역골목시장,127.03256652711916,37.648424271229416,3.0,3.0,81468.06451612903,45304590.0
전통시장,1001364,방학동도깨비시장,127.03543007328953,37.66531685994615,2.7142857142857144,4.857142857142857,163792.61290322582,116693381.375
전통시장,1001365,공릉동도깨비시장,127.07590535261178,37.62232983491129,7.285714285714286,7.285714285714286,200080.16129032258,5320227.9375
전통시장,1001366,상계시장,127.07785282932137,37.66494510620511,3.0,3.0,20144.516129032258,45304590.0
전통시장,1001367,상계중앙시장,127.0699935590849,37.65977840010375,3.0,3.2857142857142856,497442.3548387097,19549690.5625
전통시장,1001399,경창시장,126.84249336482793,37.52475256789359,1.0,1.0,73193.35483870968,20344320.5
전통시장,1001400,신월3동골목시장,126.82656656654997,37.53389342965823,0.0,0.0,76552.6129032258,45304590.0
전통시장,1001401,신곡종합시장,126.84516492854235,37.518422056675405,3.0,3.0,55065.0,45304590.0
전통시장,1001402,신월6동골목시장,126.84258665601156,37.5180402276155,1.7142857142857142,2.857142857142857,58370.16129032258,37406189.625
전통시장,1001481,명일골목시장,127.14529114835729,37.5492213591063,0.14285714285714285,0.14285714285714285,143565.7741935484,2352746.9375
발달상권,1001158,당산역_2,126.90084136296099,37.53545679215062,7.428571428571429,11.428571428571429,319246.3870967742,391862029.25
발달상권,1001159,서울 강동구 천호역,127.12297995481092,37.5383175876603,3.7142857142857144,8.714285714285714,227001.5806451613,592293135.9375
발달상권,1001209,서울시청,126.97946695387179,37.56783346248198,15.857142857142858,41.0,491584.8064516129,2766533876.625
발달상권,1001210,시청역_2,126.97139767081269,37.56439898859326,20.428571428571427,38.857142857142854,277250.0967741936,3389250423.6875
발달상권,1001212,서대문구 서대문역_1,126.96599701842904,37.568001540525145,6.714285714285714,9.714285714285714,143667.25806451612,27358704.895833332
발달상권,1001213,종각역 젊음의 거리,126.98548849171972,37.5692849591627,24.285714285714285,42.285714285714285,1301651.935483871,2803574383.4375
발달상권,1001214,종각역,126.98113043437411,37.569590681504245,1.4285714285714286,5.428571428571429,85099.90322580645,453299458.8125
발달상권,1001215,서울 종로구 광화문역_1,126.97484828351335,37.56912099259995,9.571428571428571,21.428571428571427,412098.3548387097,2411114422.8125
발달상권,1001216,서울 종로구 종로3가역_1,126.98997099045238,37.569249385228055,20.142857142857142,34.714285714285715,444562.12903225806,1187152756.125
발달상권,1001211,동대문시장_1,127.00688203068009,37.567303459950246,5.714285714285714,12.428571428571429,320656.87096774194,902465238.5625
골목상권,1000194,이문로42길,127.06462716679306,37.60073984650877,1.8571428571428572,1.8571428571428572,398882.87096774194,45304590.0
골목상권,1000256,용마산로100길,127.09942427979222,37.59063357186286,3.0,4.0,354183.0,18344058.625
골목상권,1000257,용마산로112길,127.10449748246018,37.59919761600953,6.571428571428571,8.571428571428571,483069.1935483871,133110489.875
골목상권,1000258,용마산로118길,127.10443208268727,37.60101767455427,6.285714285714286,7.142857142857143,353686.51612903224,76476739.4375
골목상권,1000228,동일로100길,127.08315286238451,37.58995239238665,4.428571428571429,4.428571428571429,478022.3548387097,3297789.3125
골목상권,1000306,창경궁로43길,127.00364580946099,37.58883736522831,10.285714285714286,13.285714285714286,243096.0,256866409.375
골목상권,1000460,대흥로28길,126.94701246757504,37.555119304672736,3.142857142857143,3.142857142857143,360588.03225806454,109611988.5625
골목상권,1000010,성균관로5길,126.99685257144091,37.58418825624836,11.166666666666666,13.166666666666666,253226.48387096773,193780365.375
골목상권,1000011,숭인동길,127.02219966011049,37.57689717095477,2.1666666666666665,3.8333333333333335,306121.22580645164,64398935.3125
골목상권,1000012,옥인길,126.96647805541343,37.58069669360434,8.666666666666666,8.666666666666666,258612.51612903227,119548131.625
골목상권,1000013,율곡로10길,126.99112476338325,37.57606099987723,10.5,11.5,93516.32258064517,315450017.8125
골목상권,1000014,율곡로16길,127.00404134640954,37.57502512057401,0.0,0.0,121647.03225806452,45304590.0
골목상권,1000015,이화장길,127.00484527087895,37.577854212833884,12.0,15.0,260078.67741935485,725338591.1875
골목상권,1000044,퇴계로12길,126.98209572084158,37.55650836308674,7.0,7.0,100103.03225806452,267816924.5625
골목상권,1000045,퇴계로18길,126.98491370830027,37.556851135807115,10.666666666666666,10.666666666666666,82787.09677419355,168370713.0625
골목상권,1000046,퇴계로46길,127.00089413853523,37.56122193214848,4.333333333333333,4.333333333333333,304388.48387096776,87674154.1875
골목상권,1000145,뚝섬로24길,127.06282793590685,37.53492308871023,4.571428571428571,4.571428571428571,317668.96774193546,45304590.0
골목상권,1000538,오목로3길,126.83817376078056,37.52389978685526,0.0,0.0,403123.7419354839,45304590.0
골목상권,1000539,오목로5길,126.84062825275142,37.524056294692166,2.142857142857143,4.142857142857143,301560.3870967742,44345362.6875
골목상권,1000540,은행정로5길,126.85815685860752,37.52119544069402,5.428571428571429,6.857142857142857,147642.03225806452,17149027.3125
골목상권,1000532,신목로5길,126.8725957787547,37.518481860876,4.571428571428571,5.0,328847.77419354836,66365679.9375
골목상권,1000760,상도로61길,126.95701780677625,37.49446789818725,9.857142857142858,21.714285714285715,405492.5483870968,986933423.75
골목상권,1000761,상도로62길,126.95260653374689,37.496214163995354,6.0,7.714285714285714,801218.0967741936,151853746.25
골목상권,1000411,연서로5길,126.91441910161745,37.60421334469154,6.571428571428571,6.571428571428571,334008.8387096774,51340738.5
골목상권,1000412,은평로10길,126.92424215601473,37.59975114699046,4.714285714285714,5.857142857142857,489110.2580645161,45304590.0
골목상권,1000413,은평로13길,126.92437530846863,37.602454203753574,5.857142857142857,5.857142857142857,312981.8064516129,41590394.4375
골목상권,1000759,상도로47길,126.95160696509937,37.50307942521602,9.714285714285714,11.714285714285714,388602.0967741936,229099256.75
골목상권,1000359,도봉로109길,127.03144407006899,37.64689290379992,4.142857142857143,5.142857142857143,413052.1612903226,25860587.5625
골목상권,1000360,도봉로114길,127.03631682587171,37.64759427158531,19.428571428571427,23.142857142857142,1189174.0967741935,889818266.625
골목상권,1000874,서초대로8길,126.98904396403856,37.483924408201645,0.0,0.0,204905.8064516129,45304590.0
골목상권,1000875,신반포로45길,127.01658166191717,37.51231446438567,6.0,7.714285714285714,373993.1935483871,128537309.9375
골목상권,1000876,언남길,127.04269916197109,37.474024118661276,9.714285714285714,9.714285714285714,236465.64516129033,96712637.6875
골목상권,1000877,주흥15길,127.0185149484964,37.508818279716955,7.285714285714286,8.285714285714286,396062.6129032258,57578807.75
골목상권,1000878,주흥길,127.01976966377829,37.50606100116442,4.857142857142857,4.857142857142857,542807.7419354839,46875903.8125
골목상권,1000631,구로동로7길,126.88327875846464,37.48640810375405,3.0,3.0,319766.96774193546,45304590.0
골목상권,1000663,독산로64길,126.90446053798038,37.46555074168666,1.0,2.0,242801.4193548387,68695437.5625
골목상권,1000664,독산로70길,126.90321477865747,37.46736976998788,2.857142857142857,4.857142857142857,422170.93548387097,78298913.5
골목상권,1000535,신월로20길,126.84515324447747,37.51860224184537,2.4285714285714284,3.2857142857142856,328881.29032258067,45304590.0
골목상권,1000536,오목로23길,126.85145007780352,37.52623280536764,1.7142857142857142,1.7142857142857142,478712.77419354836,7379808.041666666
골목상권,1000537,오목로30길,126.85373003641472,37.52312719559644,2.2857142857142856,2.2857142857142856,398419.4193548387,45304590.0
골목상권,1000348,한천로130길,127.0320867663193,37.639495650634544,2.0,2.0,503764.2580645161,14952967.9375
골목상권,1000349,한천로132길,127.02969661616098,37.640739635281335,6.428571428571429,6.428571428571429,619335.0967741936,7655632.375
골목상권,1000317,노해로33길,127.02211846412452,37.646786902764056,2.0,2.0,288024.1935483871,45304590.0
골목상권,1000338,솔샘로65길,127.02670957893947,37.62068439870403,5.0,5.0,654774.2258064516,40532419.1875
골목상권,1000339,수유로12길,127.02130997655303,37.63287584757782,5.428571428571429,6.428571428571429,586328.5483870967,10032128.6875
골목상권,1000340,오패산로30길,127.03477174530728,37.61464567828941,2.5714285714285716,3.5714285714285716,180742.5806451613,22032530.25
골목상권,1000330,삼양로27길,127.01813443588074,37.618875042640525,2.857142857142857,4.857142857142857,281873.3548387097,198003587.9375
골목상권,1000331,삼양로41길,127.01781795880467,37.621713202139276,3.0,5.0,709385.8064516129,44993016.5
골목상권,1000756,사당로8길,126.96776550162745,37.4828933691375,6.0,7.0,333023.70967741933,72267823.125
골목상권,1000636,구로중앙로42길,126.87799447555045,37.50969376734458,1.7142857142857142,1.7142857142857142,110358.58064516129,2942203.25
골목상권,1000637,구로중앙로7길,126.89096131582092,37.49063215867067,0.0,1.8571428571428572,184202.0,291091167.75
골목상권,1000638,구로중앙로8길,126.89269960784434,37.49277814683347,1.0,1.0,499197.6129032258,45304590.0
골목상권,1000639,남부순환로97길,126.85809493020344,37.49415622935668,1.7142857142857142,6.428571428571429,129271.3870967742,212111910.375
골목상권,1000738,대방동2길,126.92780253729701,37.501094072723475,3.0,4.428571428571429,209282.35483870967,118082226.5625
골목상권,1000754,사당로2차길,126.96670105427351,37.48660522861771,5.285714285714286,5.285714285714286,242075.7741935484,16662934.375
골목상권,1000755,사당로30길,126.980790802428,37.48153568143923,6.285714285714286,8.285714285714286,357222.87096774194,103654103.75
골목상권,1000632,구로동로8길,126.88670284128662,37.487672847588655,2.142857142857143,2.142857142857143,877641.9677419355,5753806.604166667
골목상권,1000733,국사봉1길,126.93201193944643,37.498438602664336,4.714285714285714,6.714285714285714,353868.67741935485,129874160.625
골목상권,1000342,오패산로67길,127.02579721831657,37.635568898654746,2.5714285714285716,3.4285714285714284,629979.2903225806,71426957.8125
골목상권,1000343,인수봉로56길,127.01498900846208,37.636120367831616,2.0,2.0,268702.8387096774,45304590.0
골목상권,1000344,인수봉로72길,127.0128715635598,37.64297711191891,3.0,3.0,423468.1935483871,45304590.0
골목상권,1000345,인수봉로79길,127.00865664145942,37.64350907716093,1.0,2.0,192061.25806451612,16902305.9375
골목상권,1000350,한천로139가길,127.0236916094139,37.64084010226493,4.285714285714286,5.0,387517.1935483871,45304590.0
골목상권,1000351,한천로140길,127.02846217118487,37.6421905245098,3.857142857142857,3.857142857142857,444351.12903225806,75582614.5625
골목상권,1000318,덕릉로40길,127.0317332962456,37.63423399296308,4.0,4.0,195201.67741935485,62456884.375
골목상권,1000319,덕릉로41길,127.02917412765696,37.63742414151746,6.0,6.0,416355.9032258064,30431569.75
골목상권,1000320,도봉로13길,127.02678691381598,37.61523340344831,0.7142857142857143,0.7142857142857143,508174.67741935485,45304590.0
골목상권,1000307,한천로101가길,127.04909147367009,37.61964107417436,1.5714285714285714,1.5714285714285714,275158.29032258067,45304590.0
골목상권,1000308,한천로76길,127.06515760393576,37.61165955037523,3.2857142857142856,3.7142857142857144,236849.09677419355,56789169.75
골목상권,1000332,삼양로54길,127.02229274195886,37.6232891695011,0.0,0.0,337399.22580645164,45304590.0
골목상권,1000333,삼양로77길,127.0151348199034,37.628858403292824,1.4285714285714286,1.5714285714285714,321118.96774193546,45304590.0
골목상권,1000398,역말로9길,126.92161240683131,37.61299397734559,5.285714285714286,5.285714285714286,415310.0,27061445.375
골목상권,1000387,한글비석로24길,127.0720478538151,37.66287653879393,2.7142857142857144,4.714285714285714,464704.12903225806,142132810.8125
골목상권,1000388,한글비석로44길,127.07004353910895,37.66472475681537,3.142857142857143,3.142857142857143,615397.5161290322,47551696.25
골목상권,1000281,삼양로8길,127.02482490862354,37.6075934452752,5.571428571428571,6.571428571428571,285217.03225806454,55883270.9375
골목상권,1000282,성북로8길,127.00570666803867,37.59124293316104,5.0,5.0,133775.8064516129,41159815.9375
골목상권,1000189,서울시립대로4길,127.04866516186614,37.573798816163084,12.857142857142858,14.142857142857142,400342.9032258064,229047868.0
골목상권,1000190,약령시로17길,127.04250206805004,37.58500055029401,1.7142857142857142,1.7142857142857142,444843.0967741936,31895164.0
골목상권,1000191,왕산로32길,127.04181787633433,37.576270165425754,1.0,1.0,235953.06451612903,45304590.0
골목상권,1000192,왕산로33길,127.04221736928372,37.5820724242863,0.0,0.0,273596.96774193546,45304590.0
골목상권,1000193,왕산로43길,127.04840072248676,37.58498926909341,5.571428571428571,5.571428571428571,627247.1935483871,57663021.25
골목상권,1000346,한천로109길,127.04199380868468,37.627464382025295,3.5714285714285716,5.571428571428571,424467.93548387097,157139152.1875
골목상권,1000335,솔매로41길,127.02262231303826,37.62682097571897,2.5714285714285716,2.5714285714285716,237196.96774193548,1981679.875
골목상권,1000336,솔매로45길,127.02414079188956,37.62838839147609,2.5714285714285716,3.5714285714285716,307295.06451612903,105275495.375
골목상권,1000337,솔매로50길,127.02826271394503,37.624134818559874,15.285714285714286,17.0,726087.0,163260378.125
골목상권,1000303,종암로24가길,127.03555769735354,37.600175550324316,3.0,3.0,214710.83870967742,45304590.0
골목상권,1000304,종암로5길,127.03418438906162,37.593418521501405,3.7142857142857144,3.7142857142857144,311116.93548387097,331962993.9375
골목상권,1000305,지봉로20길,127.01921261957447,37.58309653275608,5.571428571428571,6.571428571428571,407483.8387096774,100934728.875
골목상권,1000309,화랑로13길,127.04165293910224,37.6053272213694,7.142857142857143,12.428571428571429,215344.51612903227,448437960.8125
골목상권,1000311,화랑로19길,127.05001291789686,37.60863060684104,3.142857142857143,3.142857142857143,440572.5806451613,19043357.875
골목상권,1000312,화랑로1길,127.03365735017576,37.60484323784302,2.0,3.0,437273.2580645161,9545124.3125
골목상권,1000041,장충단로8길,127.00838689708328,37.56214966423963,2.6666666666666665,3.6666666666666665,228522.64516129033,60214138.1875
골목상권,1000042,청구로17길,127.01170262527664,37.5586445042682,3.5,4.5,356721.93548387097,121922493.0
골목상권,1000043,청구로1길,127.01539211939027,37.5580854626735,4.0,4.0,476451.1612903226,4880229.875
골목상권,1000310,화랑로14길,127.0422282367505,37.60130860037792,3.4285714285714284,6.428571428571429,450575.4193548387,121338275.8125
골목상권,1000389,가좌로7길,126.91918500828997,37.58493548788187,3.5714285714285716,3.5714285714285716,497717.1935483871,12254090.3125
골목상권,1000390,갈현로1길,126.90828699545541,37.599415470604995,3.7142857142857144,3.857142857142857,411053.48387096776,80419008.1875
골목상권,1000352,노해로60길,127.03401721691714,37.64900950100889,7.0,12.0,590498.7741935484,276317169.125
골목상권,1000353,노해로63다길,127.0454880844189,37.65453767028034,4.857142857142857,6.571428571428571,330419.70967741933,87058823.25
골목상권,1000529,목동중앙서로7길,126.86518060911823,37.53437630492295,4.571428571428571,4.571428571428571,497897.6451612903,34695746.375
골목상권,1000530,목동중앙서로8가길,126.86500499115456,37.531375772815636,2.857142857142857,2.857142857142857,222142.8064516129,20014988.375
골목상권,1000531,신목로2길,126.87572703427178,37.5197466006671,1.0,1.0,346359.6451612903,45304590.0
골목상권,1000118,왕십리로26길,127.03269962738138,37.56424475550748,6.833333333333333,9.0,644956.2258064516,39496661.625
골목상권,1000095,마조로16길,127.04483400702887,37.5655291955643,1.8333333333333333,1.8333333333333333,279550.0,45304590.0
골목상권,1000096,마조로1길,127.03995345723395,37.561557554176645,9.833333333333334,10.833333333333334,564486.6451612903,255033026.4375
골목상권,1000097,매봉길,127.0137038416579,37.54751696364525,4.833333333333333,5.833333333333333,138947.7741935484,41890773.25
